TeamName,Division,Attendance
BuffaloBisons,North,8812
LehighValleyIronPigs,North,8479
PawtucketRedSox,North,9097
RochesterRedWings,North,6913
CharlotteKnights,South,4526
DurhamBulls,South,6995
NorfolkTides,South,6286
RichmondBraves,South,4455
ColumbusClippers,West,7795
IndianapolisIndians,West,8538
LouisvilleBats,West,9152
ToledoMudHens,West,8234
