TRATAMIENTOS,REPETICIONES
1-A,0
1-A,1
1-A,1
1-A,2
1-A,2
2-B,1
2-B,1
2-B,0
2-B,0
2-B,1
3-C,11
3-C,17
3-C,14
3-C,10
3-C,12
4-D,10
4-D,8
4-D,15
4-D,9
4-D,7
